New_Commits,New_Issue,ComS,OrgS,SupS,TypS,ID,Pno
430,59,0.175613497,0.136503067,0.578220859,0.109662577,2,20
706,38,0.144,0.103384615,0.539692308,0.212923077,3,20
872,47,0.156099694,0.067774377,0.544381286,0.231744644,4,20
987,59,0.162269129,0.069591029,0.561015831,0.207124011,5,20
654,53,0.164179104,0.097228145,0.607675906,0.130916844,6,20
829,48,0.217539378,0.088122605,0.537249894,0.157088123,7,20
1005,63,0.17178658,0.097008892,0.649353274,0.081851253,8,20
785,56,0.177001127,0.081736189,0.658117249,0.083145434,9,20
1058,85,0.211227402,0.100618459,0.586822074,0.101332065,10,20
1183,75,0.24194847,0.066425121,0.583937198,0.107689211,11,20
1435,99,0.261523989,0.058325494,0.592819066,0.087331452,12,20
1343,104,0.237911919,0.06867878,0.589775177,0.103634124,13,20
1177,96,0.165810369,0.106725829,0.578468006,0.148995796,14,20
1007,110,0.195959977,0.093449122,0.621672645,0.088918256,15,20
1250,153,0.162424936,0.082356305,0.667572205,0.087646554,16,20
1237,171,0.184626647,0.090775988,0.639970717,0.084626647,17,20
881,116,0.206909025,0.074154458,0.638270935,0.080665581,18,20
1240,118,0.190882704,0.087416766,0.625746969,0.09595356,19,20
1202,143,0.164329781,0.102916433,0.655075715,0.077678071,20,20
967,121,0.182193959,0.139427663,0.5936407,0.084737679,21,20
1169,121,0.209756098,0.109430894,0.588130081,0.092682927,22,20
1171,111,0.192243397,0.094282849,0.604647275,0.108826479,23,20
1274,96,0.1886388,0.094778748,0.607717042,0.108865411,24,20
1378,136,0.14654718,0.081049025,0.674354244,0.098049552,25,20
1231,106,0.169801919,0.07923259,0.662389436,0.088576056,26,20
1462,118,0.160460611,0.094812742,0.663796814,0.080929832,27,20
1429,103,0.143252382,0.093298494,0.636181986,0.127267138,28,20
1606,142,0.172119937,0.122672278,0.619568648,0.085639137,29,20
1788,116,0.187131268,0.18464233,0.538808997,0.089417404,30,20
1425,118,0.250191194,0.127826942,0.541789577,0.080192287,31,20
1861,116,0.237183046,0.131130853,0.539052378,0.092633722,32,20
1604,121,0.233801653,0.162561983,0.538429752,0.065206612,33,20
1852,120,0.254534816,0.136086266,0.536320321,0.073058597,34,20
1553,118,0.271015237,0.152713576,0.508816983,0.067454203,35,20
1923,139,0.242522949,0.14872668,0.52901984,0.07973053,36,20
831,43,0.066816395,0.021336328,0.460415497,0.45143178,1,22
623,32,0.051261188,0.02359642,0.426362897,0.498779496,2,22
588,27,0.102952913,0.01915403,0.411811652,0.466081405,3,22
486,26,0.131147541,0.023295945,0.43313201,0.412424504,4,22
187,10,0.183752418,0.027079304,0.437137331,0.352030948,5,22
117,1,0.175,0.033333333,0.483333333,0.308333333,6,22
185,27,0.108630952,0.026785714,0.583333333,0.28125,7,22
125,36,0.18989071,0.039617486,0.614754098,0.155737705,8,22
81,17,0.240452617,0.038189533,0.59688826,0.12446959,9,22
80,11,0.225475842,0.027818448,0.639824305,0.106881406,10,22
120,30,0.235355649,0.023012552,0.632845188,0.108786611,11,22
125,21,0.253926702,0.029668412,0.598603839,0.117801047,12,22
90,18,0.288354898,0.022181146,0.596118299,0.093345656,13,22
97,27,0.236704901,0.041710115,0.610010428,0.111574557,14,22
184,53,0.240844196,0.032898821,0.603351955,0.122905028,15,22
150,45,0.244274809,0.027758501,0.617626648,0.110340042,16,22
156,38,0.2654813,0.022685469,0.614960147,0.096873084,17,22
117,46,0.219164118,0.039755352,0.611620795,0.129459735,18,22
164,30,0.238644068,0.027118644,0.633898305,0.100338983,19,22
149,33,0.257075472,0.02004717,0.64740566,0.075471698,20,22
127,39,0.28264374,0.041375605,0.609349812,0.066630844,21,22
150,35,0.244612069,0.054956897,0.621767241,0.078663793,22,22
197,81,0.216423358,0.041240876,0.677737226,0.06459854,23,22
254,108,0.181277395,0.046023795,0.698810269,0.073888541,24,22
210,51,0.209027169,0.038562664,0.662576687,0.089833479,25,22
134,62,0.198614319,0.055427252,0.664549654,0.081408776,26,22
187,44,0.199911151,0.031541537,0.69035984,0.078187472,27,22
163,43,0.193530396,0.030117122,0.678192973,0.098159509,28,22
147,31,0.210045662,0.01826484,0.685502283,0.086187215,29,22
110,21,0.255479452,0.016438356,0.645205479,0.082876712,30,22
192,46,0.215946844,0.014950166,0.700581395,0.068521595,31,22
122,44,0.176038062,0.01600346,0.75,0.057958478,32,22
136,83,0.21136629,0.010509926,0.722849358,0.055274426,33,22
116,61,0.184597062,0.022231044,0.745136959,0.048034934,34,22
144,75,0.204144282,0.039524175,0.697237145,0.059094398,35,22
176,106,0.199494949,0.045770202,0.698232323,0.056502525,36,22
2,7,0.184466019,0.087378641,0.708737864,0.019417476,1,7
85,33,0.123434705,0.071556351,0.670840787,0.134168157,2,7
76,23,0.081967213,0.071038251,0.661202186,0.18579235,3,7
65,19,0.073333333,0.03,0.706666667,0.19,4,7
54,20,0.080717489,0.022421525,0.69058296,0.206278027,5,7
60,21,0.104316547,0.043165468,0.705035971,0.147482014,6,7
0,12,0.177777778,0.011111111,0.805555556,0.005555556,7,7
68,7,0.136518771,0.04778157,0.634812287,0.180887372,8,7
0,14,0.096525097,0.019305019,0.884169884,0,9,7
0,15,0.125,0.017857143,0.857142857,0,10,7
84,13,0.137157107,0.017456359,0.695760599,0.149625935,11,7
0,13,0.122641509,0.009433962,0.867924528,0,12,7
79,10,0.137096774,0.004032258,0.596774194,0.262096774,13,7
48,9,0.13283208,0.015037594,0.751879699,0.100250627,14,7
44,9,0.16064257,0.032128514,0.740963855,0.06626506,15,7
58,12,0.223404255,0.014184397,0.592198582,0.170212766,16,7
20,10,0.312217195,0,0.606334842,0.081447964,17,7
49,10,0.18852459,0.012295082,0.606557377,0.192622951,18,7
73,9,0.202090592,0,0.567944251,0.229965157,19,7
72,4,0.13559322,0.029661017,0.559322034,0.275423729,20,7
63,8,0.139896373,0.010362694,0.549222798,0.300518135,21,7
108,5,0.134228188,0.033557047,0.486577181,0.345637584,22,7
49,6,0.113402062,0.030927835,0.654639175,0.201030928,23,7
49,6,0.170588235,0.047058824,0.541176471,0.241176471,24,7
39,5,0.206185567,0.025773196,0.608247423,0.159793814,25,7
46,3,0.185185185,0.012345679,0.567901235,0.234567901,26,7
51,3,0.153508772,0.01754386,0.640350877,0.188596491,27,7
36,1,0.173553719,0.008264463,0.578512397,0.239669421,28,7
70,6,0.129482072,0.025896414,0.709163347,0.135458167,29,7
28,12,0.216080402,0.010050251,0.658291457,0.115577889,30,7
22,10,0.239130435,0.014492754,0.666666667,0.079710145,31,7
7,7,0.288135593,0.033898305,0.661016949,0.016949153,32,7
31,3,0.192982456,0,0.701754386,0.105263158,33,7
22,9,0.140350877,0.00877193,0.728070175,0.122807018,34,7
24,8,0.095394737,0.046052632,0.782894737,0.075657895,35,7
13,5,0.24,0.02,0.69,0.05,36,7
